home,home_score,home_MOV,home_ORtg,home_DRtg,home_pace,away,away_score,away_MOV,away_ORtg,away_DRtg,away_pace,year
Brooklyn Nets,105,-1.58,109.16,107.36,91.4,Houston Rockets,96,5.06,111.82,106.65,96.3,2013-2014
Dallas Mavericks,120,2.90,108.95,112.16,93.5,Golden State Warriors,122,5.15,107.93,102.59,96.2,2013-2014
Los Angeles Lakers,112,-5.33,110.38,105.23,98.7,Portland Trail Blazers,124,4.43,112.17,107.49,94.9,2013-2014
Indiana Pacers,101,3.63,100.42,104.25,92.5,Detroit Pistons,94,-4.14,106.66,111.07,94.9,2013-2014
New York Knicks,110,-1.40,110.58,109.25,90.3,Brooklyn Nets,81,-1.58,107.36,109.16,91.4,2013-2014
Orlando Magic,98,-5.88,108.48,102.06,93.6,Cleveland Cavaliers,119,-3.86,104.92,109.07,93.1,2013-2014
Philadelphia 76ers,93,-10.66,110.79,100.11,99.2,Charlotte Bobcats,123,-0.89,104.04,105.03,92.4,2013-2014
Toronto Raptors,107,2.55,106.76,109.65,91.8,Houston Rockets,103,5.06,111.82,106.65,96.3,2013-2014
Washington Wizards,118,0.47,105.99,106.46,93.2,Boston Celtics,92,-4.98,103.69,109.03,93.3,2013-2014
Atlanta Hawks,92,-0.88,107.71,106.74,94.6,Chicago Bulls,105,1.19,103.12,101.72,90.2,2013-2014
Miami Heat,96,4.15,107.42,112.15,91.2,Milwaukee Bucks,77,-8.41,103.88,113.10,91.8,2013-2014
Minnesota Timberwolves,102,3.10,106.25,109.40,97.3,Memphis Grizzlies,88,2.17,107.18,104.89,89.9,2013-2014
San Antonio Spurs,111,7.99,102.53,110.98,95.0,Golden State Warriors,90,5.15,107.93,102.59,96.2,2013-2014
Denver Nuggets,137,-1.40,108.17,106.75,98.1,New Orleans Pelicans,107,-1.98,108.18,110.35,92.2,2013-2014
Phoenix Suns,108,3.02,107.23,110.35,95.8,Los Angeles Clippers,112,7.27,112.88,105.33,95.9,2013-2014
Sacramento Kings,107,-2.08,108.77,106.39,94.4,Los Angeles Lakers,102,-5.33,105.23,110.38,98.7,2013-2014
Oklahoma City Thunder,106,6.65,104.26,111.29,95.4,San Antonio Spurs,94,7.99,110.98,102.53,95.0,2013-2014
Los Angeles Clippers,107,7.27,105.33,112.88,95.9,Dallas Mavericks,113,2.90,112.16,108.95,93.5,2013-2014
Charlotte Bobcats,91,-0.89,105.03,104.04,92.4,Orlando Magic,80,-5.88,102.06,108.48,93.6,2013-2014
Memphis Grizzlies,100,2.17,104.89,107.18,89.9,Denver Nuggets,92,-1.40,106.75,108.17,98.1,2013-2014
Toronto Raptors,102,2.55,106.76,109.65,91.8,Indiana Pacers,94,3.63,104.25,100.42,92.5,2013-2014
Atlanta Hawks,117,-0.88,107.71,106.74,94.6,Cleveland Cavaliers,98,-3.86,104.92,109.07,93.1,2013-2014
Boston Celtics,102,-4.98,109.03,103.69,93.3,Philadelphia 76ers,111,-10.66,100.11,110.79,99.2,2013-2014
Brooklyn Nets,116,-1.58,109.16,107.36,91.4,Detroit Pistons,104,-4.14,106.66,111.07,94.9,2013-2014
Miami Heat,121,4.15,107.42,112.15,91.2,Minnesota Timberwolves,122,3.10,109.40,106.25,97.3,2013-2014
New York Knicks,89,-1.40,110.58,109.25,90.3,Washington Wizards,90,0.47,106.46,105.99,93.2,2013-2014
Chicago Bulls,102,1.19,101.72,103.12,90.2,Milwaukee Bucks,90,-8.41,103.88,113.10,91.8,2013-2014
Utah Jazz,100,-6.27,111.32,104.43,91.4,New Orleans Pelicans,96,-1.98,108.18,110.35,92.2,2013-2014
Houston Rockets,111,5.06,106.65,111.82,96.3,Oklahoma City Thunder,107,6.65,111.29,104.26,95.4,2013-2014
Portland Trail Blazers,93,4.43,107.49,112.17,94.9,Phoenix Suns,109,3.02,110.35,107.23,95.8,2013-2014
Golden State Warriors,102,5.15,102.59,107.93,96.2,Sacramento Kings,69,-2.08,106.39,108.77,94.4,2013-2014
Los Angeles Lakers,95,-5.33,110.38,105.23,98.7,Dallas Mavericks,107,2.90,112.16,108.95,93.5,2013-2014
Orlando Magic,100,-5.88,108.48,102.06,93.6,Minnesota Timberwolves,92,3.10,109.40,106.25,97.3,2013-2014
Washington Wizards,78,0.47,105.99,106.46,93.2,Chicago Bulls,96,1.19,103.12,101.72,90.2,2013-2014
Cleveland Cavaliers,94,-3.86,109.07,104.92,93.1,Charlotte Bobcats,96,-0.89,104.04,105.03,92.4,2013-2014
Detroit Pistons,115,-4.14,111.07,106.66,94.9,Boston Celtics,111,-4.98,103.69,109.03,93.3,2013-2014
Philadelphia 76ers,101,-10.66,110.79,100.11,99.2,Brooklyn Nets,105,-1.58,107.36,109.16,91.4,2013-2014
Milwaukee Bucks,98,-8.41,113.10,103.88,91.8,Toronto Raptors,102,2.55,109.65,106.76,91.8,2013-2014
Miami Heat,102,4.15,107.42,112.15,91.2,New York Knicks,91,-1.40,109.25,110.58,90.3,2013-2014
Los Angeles Clippers,120,7.27,105.33,112.88,95.9,Los Angeles Lakers,97,-5.33,105.23,110.38,98.7,2013-2014
Indiana Pacers,88,3.63,100.42,104.25,92.5,Atlanta Hawks,107,-0.88,106.74,107.71,94.6,2013-2014
Sacramento Kings,91,-2.08,108.77,106.39,94.4,Dallas Mavericks,93,2.90,112.16,108.95,93.5,2013-2014
Houston Rockets,130,5.06,106.65,111.82,96.3,Denver Nuggets,125,-1.40,106.75,108.17,98.1,2013-2014
San Antonio Spurs,112,7.99,102.53,110.98,95.0,Memphis Grizzlies,92,2.17,107.18,104.89,89.9,2013-2014
Golden State Warriors,130,5.15,102.59,107.93,96.2,Utah Jazz,102,-6.27,104.43,111.32,91.4,2013-2014
Phoenix Suns,122,3.02,107.23,110.35,95.8,Oklahoma City Thunder,115,6.65,111.29,104.26,95.4,2013-2014
Portland Trail Blazers,100,4.43,107.49,112.17,94.9,New Orleans Pelicans,94,-1.98,108.18,110.35,92.2,2013-2014
Atlanta Hawks,95,-0.88,107.71,106.74,94.6,Detroit Pistons,102,-4.14,106.66,111.07,94.9,2013-2014
Miami Heat,87,4.15,107.42,112.15,91.2,Brooklyn Nets,88,-1.58,107.36,109.16,91.4,2013-2014
Minnesota Timberwolves,110,3.10,106.25,109.40,97.3,San Antonio Spurs,91,7.99,110.98,102.53,95.0,2013-2014
Utah Jazz,83,-6.27,111.32,104.43,91.4,Dallas Mavericks,95,2.90,112.16,108.95,93.5,2013-2014
Sacramento Kings,92,-2.08,108.77,106.39,94.4,Oklahoma City Thunder,107,6.65,111.29,104.26,95.4,2013-2014
Los Angeles Lakers,130,-5.33,110.38,105.23,98.7,Houston Rockets,145,5.06,111.82,106.65,96.3,2013-2014
Cleveland Cavaliers,122,-3.86,109.07,104.92,93.1,Detroit Pistons,100,-4.14,106.66,111.07,94.9,2013-2014
Orlando Magic,115,-5.88,108.48,102.06,93.6,Brooklyn Nets,111,-1.58,107.36,109.16,91.4,2013-2014
Toronto Raptors,125,2.55,106.76,109.65,91.8,Philadelphia 76ers,114,-10.66,100.11,110.79,99.2,2013-2014
Washington Wizards,88,0.47,105.99,106.46,93.2,Charlotte Bobcats,94,-0.89,104.04,105.03,92.4,2013-2014
Atlanta Hawks,105,-0.88,107.71,106.74,94.6,Boston Celtics,97,-4.98,103.69,109.03,93.3,2013-2014
Memphis Grizzlies,107,2.17,104.89,107.18,89.9,Miami Heat,102,4.15,112.15,107.42,91.2,2013-2014
Milwaukee Bucks,102,-8.41,113.10,103.88,91.8,Indiana Pacers,104,3.63,104.25,100.42,92.5,2013-2014
Minnesota Timberwolves,87,3.10,106.25,109.40,97.3,Chicago Bulls,102,1.19,103.12,101.72,90.2,2013-2014
New Orleans Pelicans,88,-1.98,110.35,108.18,92.2,Phoenix Suns,94,3.02,110.35,107.23,95.8,2013-2014
Denver Nuggets,123,-1.40,108.17,106.75,98.1,Houston Rockets,116,5.06,111.82,106.65,96.3,2013-2014
Portland Trail Blazers,100,4.43,107.49,112.17,94.9,Sacramento Kings,99,-2.08,106.39,108.77,94.4,2013-2014
Los Angeles Clippers,101,7.27,105.33,112.88,95.9,Oklahoma City Thunder,107,6.65,111.29,104.26,95.4,2013-2014
Dallas Mavericks,100,2.90,108.95,112.16,93.5,San Antonio Spurs,109,7.99,110.98,102.53,95.0,2013-2014
Golden State Warriors,99,5.15,102.59,107.93,96.2,Denver Nuggets,100,-1.40,106.75,108.17,98.1,2013-2014
Orlando Magic,86,-5.88,108.48,102.06,93.6,Washington Wizards,96,0.47,106.46,105.99,93.2,2013-2014
Toronto Raptors,100,2.55,106.76,109.65,91.8,New York Knicks,108,-1.40,109.25,110.58,90.3,2013-2014
Boston Celtics,106,-4.98,109.03,103.69,93.3,Charlotte Bobcats,103,-0.89,104.04,105.03,92.4,2013-2014
Brooklyn Nets,88,-1.58,109.16,107.36,91.4,Atlanta Hawks,93,-0.88,106.74,107.71,94.6,2013-2014
Miami Heat,98,4.15,107.42,112.15,91.2,Indiana Pacers,86,3.63,104.25,100.42,92.5,2013-2014
Chicago Bulls,106,1.19,101.72,103.12,90.2,Detroit Pistons,98,-4.14,106.66,111.07,94.9,2013-2014
Memphis Grizzlies,117,2.17,104.89,107.18,89.9,Philadelphia 76ers,95,-10.66,100.11,110.79,99.2,2013-2014
Minnesota Timberwolves,112,3.10,106.25,109.40,97.3,Houston Rockets,110,5.06,111.82,106.65,96.3,2013-2014
Oklahoma City Thunder,116,6.65,104.26,111.29,95.4,New Orleans Pelicans,94,-1.98,108.18,110.35,92.2,2013-2014
Milwaukee Bucks,119,-8.41,113.10,103.88,91.8,Cleveland Cavaliers,116,-3.86,104.92,109.07,93.1,2013-2014
San Antonio Spurs,112,7.99,102.53,110.98,95.0,Phoenix Suns,104,3.02,110.35,107.23,95.8,2013-2014
Utah Jazz,99,-6.27,111.32,104.43,91.4,Portland Trail Blazers,111,4.43,112.17,107.49,94.9,2013-2014
Los Angeles Lakers,95,-5.33,110.38,105.23,98.7,Golden State Warriors,112,5.15,107.93,102.59,96.2,2013-2014
Los Angeles Clippers,117,7.27,105.33,112.88,95.9,Sacramento Kings,101,-2.08,106.39,108.77,94.4,2013-2014
Charlotte Bobcats,111,-0.89,105.03,104.04,92.4,Philadelphia 76ers,105,-10.66,100.11,110.79,99.2,2013-2014
Washington Wizards,104,0.47,105.99,106.46,93.2,Milwaukee Bucks,91,-8.41,103.88,113.10,91.8,2013-2014
Atlanta Hawks,98,-0.88,107.71,106.74,94.6,Miami Heat,85,4.15,112.15,107.42,91.2,2013-2014
Cleveland Cavaliers,99,-3.86,109.07,104.92,93.1,Boston Celtics,111,-4.98,103.69,109.03,93.3,2013-2014
Houston Rockets,111,5.06,106.65,111.82,96.3,New Orleans Pelicans,104,-1.98,108.18,110.35,92.2,2013-2014
Dallas Mavericks,101,2.90,108.95,112.16,93.5,Phoenix Suns,98,3.02,110.35,107.23,95.8,2013-2014
Denver Nuggets,101,-1.40,108.17,106.75,98.1,Utah Jazz,94,-6.27,104.43,111.32,91.4,2013-2014
Indiana Pacers,102,3.63,100.42,104.25,92.5,Oklahoma City Thunder,97,6.65,111.29,104.26,95.4,2013-2014
Detroit Pistons,107,-4.14,111.07,106.66,94.9,Toronto Raptors,116,2.55,109.65,106.76,91.8,2013-2014
Brooklyn Nets,97,-1.58,109.16,107.36,91.4,Orlando Magic,88,-5.88,102.06,108.48,93.6,2013-2014
New York Knicks,100,-1.40,110.58,109.25,90.3,Chicago Bulls,89,1.19,103.12,101.72,90.2,2013-2014
Portland Trail Blazers,119,4.43,107.49,112.17,94.9,Golden State Warriors,117,5.15,107.93,102.59,96.2,2013-2014
Sacramento Kings,106,-2.08,108.77,106.39,94.4,Minnesota Timberwolves,103,3.10,109.40,106.25,97.3,2013-2014
Los Angeles Lakers,90,-5.33,110.38,105.23,98.7,Memphis Grizzlies,102,2.17,107.18,104.89,89.9,2013-2014
Philadelphia 76ers,113,-10.66,110.79,100.11,99.2,Boston Celtics,108,-4.98,103.69,109.03,93.3,2013-2014
Toronto Raptors,110,2.55,106.76,109.65,91.8,Milwaukee Bucks,100,-8.41,103.88,113.10,91.8,2013-2014
Washington Wizards,114,0.47,105.99,106.46,93.2,Miami Heat,93,4.15,112.15,107.42,91.2,2013-2014
Atlanta Hawks,93,-0.88,107.71,106.74,94.6,Charlotte Bobcats,95,-0.89,104.04,105.03,92.4,2013-2014
Chicago Bulls,108,1.19,101.72,103.12,90.2,Orlando Magic,95,-5.88,102.06,108.48,93.6,2013-2014
Houston Rockets,104,5.06,106.65,111.82,96.3,San Antonio Spurs,98,7.99,110.98,102.53,95.0,2013-2014
New Orleans Pelicans,101,-1.98,110.35,108.18,92.2,Oklahoma City Thunder,89,6.65,111.29,104.26,95.4,2013-2014
Utah Jazz,104,-6.27,111.32,104.43,91.4,Los Angeles Lakers,119,-5.33,105.23,110.38,98.7,2013-2014
Phoenix Suns,91,3.02,107.23,110.35,95.8,Memphis Grizzlies,97,2.17,107.18,104.89,89.9,2013-2014
Golden State Warriors,130,5.15,102.59,107.93,96.2,Minnesota Timberwolves,120,3.10,109.40,106.25,97.3,2013-2014
Brooklyn Nets,98,-1.58,109.16,107.36,91.4,New York Knicks,109,-1.40,109.25,110.58,90.3,2013-2014
Los Angeles Clippers,117,7.27,105.33,112.88,95.9,Denver Nuggets,105,-1.40,106.75,108.17,98.1,2013-2014
Charlotte Bobcats,91,-0.89,105.03,104.04,92.4,Chicago Bulls,86,1.19,103.12,101.72,90.2,2013-2014
Orlando Magic,86,-5.88,108.48,102.06,93.6,Indiana Pacers,101,3.63,104.25,100.42,92.5,2013-2014
Boston Celtics,102,-4.98,109.03,103.69,93.3,Washington Wizards,118,0.47,106.46,105.99,93.2,2013-2014
Cleveland Cavaliers,114,-3.86,109.07,104.92,93.1,Brooklyn Nets,85,-1.58,107.36,109.16,91.4,2013-2014
Memphis Grizzlies,106,2.17,104.89,107.18,89.9,Dallas Mavericks,105,2.90,112.16,108.95,93.5,2013-2014
Miami Heat,87,4.15,107.42,112.15,91.2,Philadelphia 76ers,100,-10.66,100.11,110.79,99.2,2013-2014
Milwaukee Bucks,103,-8.41,113.10,103.88,91.8,Atlanta Hawks,111,-0.88,106.74,107.71,94.6,2013-2014
Minnesota Timberwolves,130,3.10,106.25,109.40,97.3,Utah Jazz,136,-6.27,104.43,111.32,91.4,2013-2014
New Orleans Pelicans,105,-1.98,110.35,108.18,92.2,Houston Rockets,100,5.06,111.82,106.65,96.3,2013-2014
New York Knicks,95,-1.40,110.58,109.25,90.3,Toronto Raptors,92,2.55,109.65,106.76,91.8,2013-2014
Oklahoma City Thunder,112,6.65,104.26,111.29,95.4,Detroit Pistons,111,-4.14,106.66,111.07,94.9,2013-2014
San Antonio Spurs,100,7.99,102.53,110.98,95.0,Los Angeles Lakers,113,-5.33,105.23,110.38,98.7,2013-2014
Denver Nuggets,112,-1.40,108.17,106.75,98.1,Golden State Warriors,116,5.15,107.93,102.59,96.2,2013-2014
Portland Trail Blazers,110,4.43,107.49,112.17,94.9,Los Angeles Clippers,104,7.27,112.88,105.33,95.9,2013-2014
Sacramento Kings,99,-2.08,108.77,106.39,94.4,Phoenix Suns,104,3.02,110.35,107.23,95.8,2013-2014
Los Angeles Clippers,105,7.27,105.33,112.88,95.9,Golden State Warriors,109,5.15,107.93,102.59,96.2,2013-2014
Indiana Pacers,93,3.63,100.42,104.25,92.5,Atlanta Hawks,101,-0.88,106.74,107.71,94.6,2013-2014
Oklahoma City Thunder,100,6.65,104.26,111.29,95.4,Memphis Grizzlies,86,2.17,107.18,104.89,89.9,2013-2014
Toronto Raptors,87,2.55,106.76,109.65,91.8,Brooklyn Nets,94,-1.58,107.36,109.16,91.4,2013-2014
San Antonio Spurs,90,7.99,102.53,110.98,95.0,Dallas Mavericks,85,2.90,112.16,108.95,93.5,2013-2014
Miami Heat,99,4.15,107.42,112.15,91.2,Charlotte Bobcats,88,-0.89,104.04,105.03,92.4,2013-2014
Chicago Bulls,93,1.19,101.72,103.12,90.2,Washington Wizards,102,0.47,106.46,105.99,93.2,2013-2014
Houston Rockets,120,5.06,106.65,111.82,96.3,Portland Trail Blazers,122,4.43,112.17,107.49,94.9,2013-2014
Oklahoma City Thunder,105,6.65,104.26,111.29,95.4,Memphis Grizzlies,111,2.17,107.18,104.89,89.9,2013-2014
Los Angeles Clippers,138,7.27,105.33,112.88,95.9,Golden State Warriors,98,5.15,107.93,102.59,96.2,2013-2014
Indiana Pacers,101,3.63,100.42,104.25,92.5,Atlanta Hawks,85,-0.88,106.74,107.71,94.6,2013-2014
Toronto Raptors,100,2.55,106.76,109.65,91.8,Brooklyn Nets,95,-1.58,107.36,109.16,91.4,2013-2014
Chicago Bulls,99,1.19,101.72,103.12,90.2,Washington Wizards,101,0.47,106.46,105.99,93.2,2013-2014
Miami Heat,101,4.15,107.42,112.15,91.2,Charlotte Bobcats,97,-0.89,104.04,105.03,92.4,2013-2014
San Antonio Spurs,92,7.99,102.53,110.98,95.0,Dallas Mavericks,113,2.90,112.16,108.95,93.5,2013-2014
Houston Rockets,105,5.06,106.65,111.82,96.3,Portland Trail Blazers,112,4.43,112.17,107.49,94.9,2013-2014
Atlanta Hawks,98,-0.88,107.71,106.74,94.6,Indiana Pacers,85,3.63,104.25,100.42,92.5,2013-2014
Memphis Grizzlies,98,2.17,104.89,107.18,89.9,Oklahoma City Thunder,95,6.65,111.29,104.26,95.4,2013-2014
Golden State Warriors,96,5.15,102.59,107.93,96.2,Los Angeles Clippers,98,7.27,112.88,105.33,95.9,2013-2014
Brooklyn Nets,102,-1.58,109.16,107.36,91.4,Toronto Raptors,98,2.55,109.65,106.76,91.8,2013-2014
Washington Wizards,97,0.47,105.99,106.46,93.2,Chicago Bulls,100,1.19,103.12,101.72,90.2,2013-2014
Portland Trail Blazers,116,4.43,107.49,112.17,94.9,Houston Rockets,121,5.06,111.82,106.65,96.3,2013-2014
Atlanta Hawks,88,-0.88,107.71,106.74,94.6,Indiana Pacers,91,3.63,104.25,100.42,92.5,2013-2014
Dallas Mavericks,109,2.90,108.95,112.16,93.5,San Antonio Spurs,108,7.99,110.98,102.53,95.0,2013-2014
Charlotte Bobcats,85,-0.89,105.03,104.04,92.4,Miami Heat,98,4.15,112.15,107.42,91.2,2013-2014
Memphis Grizzlies,89,2.17,104.89,107.18,89.9,Oklahoma City Thunder,92,6.65,111.29,104.26,95.4,2013-2014
Washington Wizards,98,0.47,105.99,106.46,93.2,Chicago Bulls,89,1.19,103.12,101.72,90.2,2013-2014
Golden State Warriors,118,5.15,102.59,107.93,96.2,Los Angeles Clippers,97,7.27,112.88,105.33,95.9,2013-2014
Brooklyn Nets,79,-1.58,109.16,107.36,91.4,Toronto Raptors,87,2.55,109.65,106.76,91.8,2013-2014
Portland Trail Blazers,123,4.43,107.49,112.17,94.9,Houston Rockets,120,5.06,111.82,106.65,96.3,2013-2014
Charlotte Bobcats,98,-0.89,105.03,104.04,92.4,Miami Heat,109,4.15,112.15,107.42,91.2,2013-2014
Indiana Pacers,97,3.63,100.42,104.25,92.5,Atlanta Hawks,107,-0.88,106.74,107.71,94.6,2013-2014
Dallas Mavericks,89,2.90,108.95,112.16,93.5,San Antonio Spurs,93,7.99,110.98,102.53,95.0,2013-2014
Chicago Bulls,69,1.19,101.72,103.12,90.2,Washington Wizards,75,0.47,106.46,105.99,93.2,2013-2014
Oklahoma City Thunder,99,6.65,104.26,111.29,95.4,Memphis Grizzlies,100,2.17,107.18,104.89,89.9,2013-2014
Los Angeles Clippers,113,7.27,105.33,112.88,95.9,Golden State Warriors,103,5.15,107.93,102.59,96.2,2013-2014
San Antonio Spurs,109,7.99,102.53,110.98,95.0,Dallas Mavericks,103,2.90,112.16,108.95,93.5,2013-2014
Toronto Raptors,115,2.55,106.76,109.65,91.8,Brooklyn Nets,113,-1.58,107.36,109.16,91.4,2013-2014
Houston Rockets,108,5.06,106.65,111.82,96.3,Portland Trail Blazers,98,4.43,112.17,107.49,94.9,2013-2014
Toronto Raptors,98,2.55,106.76,109.65,91.8,Denver Nuggets,112,-1.40,106.75,108.17,98.1,2013-2014
Detroit Pistons,115,-4.14,111.07,106.66,94.9,Philadelphia 76ers,100,-10.66,100.11,110.79,99.2,2013-2014
