Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attend.,Attend./G
1,Milwaukee Bucks,29.2,35,6,34,7,12.29,-1.13,11.17,113.6,101.9,+11.7,104.6,.269,.428,.584,.554,12.3,21.2,.197,.489,12.5,81.2,.168,Fiserv Forum,352462,17623
2,Los Angeles Lakers,29.6,32,7,29,10,8.28,0.30,8.58,112.9,104.6,+8.3,100.3,.262,.344,.577,.547,13.2,24.2,.194,.500,13.8,78.3,.204,STAPLES Center,360943,18997
3,Dallas Mavericks,25.9,24,15,27,12,6.87,0.35,7.22,116.8,109.9,+6.9,98.7,.270,.458,.580,.544,11.5,24.4,.209,.509,11.0,76.6,.184,American Airlines Center,440391,20018
4,Los Angeles Clippers,27.4,27,13,27,13,5.70,0.47,6.17,112.1,106.6,+5.5,102.6,.292,.363,.569,.527,13.5,24.7,.230,.505,13.1,77.0,.215,STAPLES Center,400428,19068
5,Boston Celtics,25.1,26,11,26,11,6.97,-1.11,5.86,111.8,104.8,+7.0,99.3,.243,.379,.562,.524,12.3,24.0,.196,.507,14.0,77.3,.190,TD Garden,342680,19038
6,Toronto Raptors,26.6,25,14,26,13,5.10,0.34,5.44,109.3,104.3,+5.0,99.9,.255,.409,.559,.520,13.0,22.5,.203,.495,14.2,75.6,.188,Scotiabank Arena,415463,19784
7,Houston Rockets,28.8,26,12,25,13,5.50,-0.48,5.03,114.4,109.2,+5.2,103.6,.295,.485,.580,.540,12.8,24.1,.230,.522,13.0,76.8,.185,Toyota Center,325241,18069
8,Philadelphia 76ers,26.6,25,15,24,16,3.48,0.20,3.67,109.6,106.1,+3.5,99.2,.247,.342,.561,.530,13.2,24.0,.184,.515,13.0,81.2,.207,Wells Fargo Center,411677,20584
9,Denver Nuggets,25.8,27,12,24,15,3.72,-0.29,3.43,111.4,107.6,+3.8,97.1,.235,.335,.553,.520,11.8,24.7,.181,.517,13.1,77.0,.193,Pepsi Center,398269,18965
10,Utah Jazz,27.6,27,12,24,15,3.69,-0.45,3.24,110.5,106.8,+3.7,99.0,.275,.387,.581,.546,14.0,20.4,.211,.500,11.4,79.0,.184,Vivint Smart Home Arena,329508,18306
11,Miami Heat,25.4,27,12,24,15,3.72,-0.58,3.14,111.6,107.9,+3.7,98.5,.309,.397,.586,.547,14.4,21.6,.238,.514,12.5,79.4,.211,AmericanAirlines Arena,354748,19708
12,Indiana Pacers,25.5,24,15,23,16,3.05,-0.76,2.29,110.5,107.4,+3.1,98.4,.215,.311,.561,.528,11.7,21.2,.171,.508,12.7,77.1,.192,Bankers Life Fieldhouse,327822,16391
13,Oklahoma City Thunder,25.6,22,17,21,18,1.54,0.50,2.03,109.7,108.1,+1.6,98.3,.285,.349,.566,.524,12.5,20.1,.226,.514,12.7,76.7,.164,Chesapeake Energy Arena,364060,18203
14,Orlando Magic,26.0,18,21,20,19,0.21,0.22,0.43,105.5,105.3,+0.2,98.1,.256,.350,.529,.490,11.8,22.0,.197,.515,13.9,78.1,.168,Amway Center,351820,16753
15,San Antonio Spurs,28.3,17,21,18,20,-1.05,0.53,-0.53,111.3,112.3,-1.0,100.7,.249,.307,.566,.530,11.6,21.0,.197,.531,10.9,79.4,.185,AT&T Center,367832,18392
16,Phoenix Suns,25.1,16,23,18,21,-0.87,-0.33,-1.20,109.9,110.8,-0.9,102.1,.267,.375,.567,.527,12.8,21.1,.215,.540,14.1,78.8,.223,Talking Stick Resort Arena,357682,15349
17,Portland Trail Blazers,27.5,16,24,17,23,-2.40,0.40,-2.00,109.8,112.2,-2.4,101.2,.238,.368,.553,.514,11.5,21.6,.193,.513,11.1,75.2,.210,Moda Center,354811,19712
18,Brooklyn Nets,26.5,18,20,17,21,-1.32,-0.97,-2.29,106.0,107.2,-1.2,102.1,.265,.415,.544,.509,13.7,22.9,.195,.497,11.4,77.6,.191,Barclays Center,314892,16573
19,New Orleans Pelicans,25.6,14,26,15,25,-4.00,1.54,-2.46,109.0,112.8,-3.8,103.0,.231,.422,.556,.528,13.2,23.0,.170,.538,12.8,77.7,.221,Smoothie King Center,304107,16006
20,Chicago Bulls,24.0,14,26,18,22,-1.80,-0.69,-2.49,105.3,107.1,-1.8,100.0,.236,.397,.538,.504,13.4,22.4,.180,.526,16.0,75.7,.235,United Center,399800,19038
21,Memphis Grizzlies,24.1,18,22,17,23,-2.70,0.16,-2.54,109.5,112.1,-2.6,103.3,.220,.360,.566,.534,13.4,22.4,.174,.532,12.7,78.4,.224,FedEx Forum,341062,15503
22,Sacramento Kings,27.3,15,24,16,23,-2.79,-0.02,-2.81,107.4,110.2,-2.8,97.8,.224,.389,.554,.521,14.0,22.6,.175,.534,13.8,77.9,.212,Golden 1 Center,320552,16871
