Rk,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
1,Milwaukee Bucks,E,C,36,6,.857,12.62,114.33,102.26,12.08,11.38,114.00,103.15,10.85
2,Los Angeles Lakers,W,P,33,8,.805,8.56,113.94,105.56,8.38,8.75,113.59,105.00,8.59
3,Dallas Mavericks,W,SW,26,15,.634,7.29,118.11,110.73,7.39,7.30,118.33,110.96,7.37
4,Los Angeles Clippers,W,P,28,13,.683,6.17,112.95,106.97,5.98,6.42,112.59,106.35,6.23
5,Toronto Raptors,E,A,26,14,.650,5.20,110.66,105.45,5.21,5.58,110.89,105.32,5.58
6,Boston Celtics,E,A,27,12,.692,6.59,112.84,106.18,6.66,5.35,112.10,106.68,5.42
7,Houston Rockets,W,SW,26,14,.650,4.70,114.92,110.29,4.64,4.18,114.69,110.57,4.13
8,Denver Nuggets,W,NW,28,12,.700,3.98,112.29,108.12,4.17,3.45,111.76,108.09,3.67
9,Utah Jazz,W,NW,28,12,.700,3.88,111.57,107.46,4.11,3.43,111.92,108.28,3.64
10,Philadelphia 76ers,E,A,26,16,.619,3.43,110.40,106.98,3.41,3.57,110.24,106.67,3.57
11,Miami Heat,E,SE,28,12,.700,3.78,112.42,108.85,3.56,3.17,112.23,109.24,2.99
12,Indiana Pacers,E,C,26,15,.634,3.17,111.27,107.94,3.34,2.50,111.29,108.61,2.68
13,Oklahoma City Thunder,W,NW,23,18,.561,1.56,110.76,109.18,1.58,2.09,111.02,108.92,2.10
14,Orlando Magic,E,SE,20,21,.488,0.27,106.63,106.54,0.09,0.61,106.51,106.07,0.44
15,San Antonio Spurs,W,SW,17,22,.436,-1.18,111.64,112.88,-1.24,-0.60,111.69,112.38,-0.70
16,Portland Trail Blazers,W,NW,18,24,.429,-1.98,110.84,112.82,-1.98,-1.69,111.20,112.92,-1.72
17,Phoenix Suns,W,P,16,24,.400,-1.18,110.52,111.85,-1.33,-1.69,110.23,112.04,-1.81
18,Memphis Grizzlies,W,SW,19,22,.463,-2.37,110.37,112.67,-2.31,-2.15,110.55,112.66,-2.12
19,New Orleans Pelicans,W,SW,15,26,.366,-3.73,109.55,113.07,-3.52,-2.35,110.27,112.43,-2.16
20,Chicago Bulls,E,C,15,27,.357,-1.79,106.44,108.25,-1.82,-2.35,105.97,108.34,-2.37
21,Brooklyn Nets,E,A,18,22,.450,-1.80,106.78,108.62,-1.84,-2.57,106.42,108.97,-2.55
22,Sacramento Kings,W,P,15,26,.366,-2.80,109.01,111.75,-2.74,-2.69,108.85,111.46,-2.61
23,Detroit Pistons,E,C,15,27,.357,-2.60,110.23,112.69,-2.46,-3.03,110.16,113.05,-2.90
24,Minnesota Timberwolves,W,NW,15,25,.375,-3.20,107.36,110.47,-3.10,-3.44,106.77,110.12,-3.35
25,Washington Wizards,E,SE,13,27,.325,-5.13,111.74,116.70,-4.95,-5.01,112.12,116.97,-4.85
26,Charlotte Hornets,E,SE,15,29,.341,-6.82,107.29,114.21,-6.92,-7.16,107.30,114.52,-7.23
27,New York Knicks,E,A,11,30,.268,-8.39,105.81,114.23,-8.41,-7.57,106.26,113.88,-7.62
28,Atlanta Hawks,E,SE,9,32,.220,-9.46,104.31,113.21,-8.90,-8.46,105.26,113.21,-7.95
29,Cleveland Cavaliers,E,C,12,29,.293,-9.15,106.50,115.82,-9.32,-7.77,107.49,115.45,-7.96
30,Golden State Warriors,W,P,9,33,.214,-8.64,104.24,112.98,-8.74,-8.32,103.99,112.39,-8.40
